City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Antalaha,100,MG,18-06-2020,92,-14.9,50.28,70.52,13.98
Sobolevo,5,RU,18-06-2020,90,54.43,31.9,66.09,5.73
Upata,83,VE,18-06-2020,79,8.01,-62.4,80.83,2.46
Bandarbeyla,94,SO,18-06-2020,73,9.49,50.81,80.2,31.36
Santa Maria,75,BR,18-06-2020,61,-29.68,-53.81,78.8,11.41
Gushikawa,40,JP,18-06-2020,88,26.35,127.87,82.4,17.22
Safi,0,MA,18-06-2020,78,32.3,-9.24,67.95,19.86
Voznesen'ye,8,RU,18-06-2020,86,61.01,35.48,63.93,10.92
Nanfeng,100,CN,18-06-2020,92,23.74,111.8,76.46,0.49
Kavaratti,98,IN,18-06-2020,80,10.57,72.64,84.34,16.62
Pontes e Lacerda,40,BR,18-06-2020,54,-15.23,-59.34,83.08,3.71
Ukiah,1,US,18-06-2020,13,39.15,-123.21,93.99,3.36
Terekli-Mekteb,85,RU,18-06-2020,53,44.17,45.87,71.29,10.8
Abonnema,75,NG,18-06-2020,94,4.71,6.79,75.2,5.14
Guangshui,9,CN,18-06-2020,92,31.62,114.0,65.93,0.72
Pochutla,90,MX,18-06-2020,78,15.74,-96.47,84.99,3.53
Dauphin,90,CA,18-06-2020,93,51.15,-100.05,50.0,8.05
Margate,42,GB,18-06-2020,84,51.38,1.39,59.0,5.01
Inírida,66,CO,18-06-2020,91,3.87,-67.92,78.96,3.83
Semiletka,0,RU,18-06-2020,81,55.36,54.62,46.0,3.51
Huanren,0,CN,18-06-2020,85,41.26,125.37,58.48,1.83
Seoni,100,IN,18-06-2020,84,22.08,79.53,75.88,8.97
Ust'-Ishim,68,RU,18-06-2020,77,57.69,71.17,40.19,5.35
Yangi Marg`ilon,32,UZ,18-06-2020,40,40.43,71.72,70.12,3.2
Erdenet,80,MN,18-06-2020,89,49.03,104.08,53.83,2.35
Batemans Bay,11,AU,18-06-2020,93,-35.72,150.18,43.0,1.01
Qandala,34,SO,18-06-2020,50,11.47,49.87,91.13,3.15
Zhalantun,80,CN,18-06-2020,78,48.0,122.72,58.66,5.01
Oshnavīyeh,0,IR,18-06-2020,59,37.04,45.1,62.6,4.7
Kavieng,28,PG,18-06-2020,72,-2.57,150.8,82.54,3.91
Raton,1,US,18-06-2020,23,36.9,-104.44,80.6,12.75
Suamico,1,US,18-06-2020,35,44.63,-88.04,86.0,11.41
Angoche,0,MZ,18-06-2020,86,-16.23,39.91,70.72,9.62
Lodja,12,CD,18-06-2020,52,-3.48,23.43,69.57,0.69
Olinda,75,BR,18-06-2020,83,-8.01,-34.86,78.8,11.41
Havre-St-Pierre,1,CA,18-06-2020,60,50.23,-63.6,71.6,14.99
Tadine,79,NC,18-06-2020,79,-21.55,167.88,72.77,13.96
Izumo,75,JP,18-06-2020,88,35.37,132.77,68.0,16.11
Birjand,0,IR,18-06-2020,15,32.87,59.22,75.2,9.17
Ozernovskiy,100,RU,18-06-2020,87,51.5,156.52,42.75,3.4
Bezhanitsy,0,RU,18-06-2020,75,56.98,29.89,67.75,4.7
Oranjestad,20,AW,18-06-2020,66,12.52,-70.03,87.8,25.28
Guarapari,0,BR,18-06-2020,78,-20.67,-40.5,73.4,4.7
Kasongo-Lunda,56,CD,18-06-2020,38,-6.47,16.82,68.25,1.5
Berdigestyakh,34,RU,18-06-2020,57,62.1,126.7,63.77,2.98
Belokurikha,33,RU,18-06-2020,54,52.0,84.99,59.85,10.31
Mananjary,89,MG,18-06-2020,76,-21.22,48.33,65.53,2.82
Krasnokamensk,0,RU,18-06-2020,63,50.1,118.04,60.03,1.21
Methóni,0,GR,18-06-2020,77,36.82,21.7,72.0,13.15
Otjimbingwe,0,NA,18-06-2020,35,-22.35,16.13,59.14,9.06
Rameswaram,100,IN,18-06-2020,75,9.28,79.3,86.31,18.3
Brigantine,75,US,18-06-2020,69,39.41,-74.36,78.8,8.05
Yei,92,SS,18-06-2020,95,4.09,30.68,66.27,2.21
Simao,100,CN,18-06-2020,96,22.79,100.97,66.07,2.3
Caibarién,75,CU,18-06-2020,52,22.52,-79.47,91.4,4.7
Samfya,0,ZM,18-06-2020,69,-11.36,29.56,56.32,8.19
Bridlington,100,GB,18-06-2020,100,54.08,-0.19,57.2,4.7
Kondinskoye,36,RU,18-06-2020,70,59.65,67.41,39.83,8.57
Tsiroanomandidy,0,MG,18-06-2020,73,-18.77,46.03,53.73,3.09
Lompoc,0,US,18-06-2020,64,34.64,-120.46,70.0,12.75
Bathsheba,40,BB,18-06-2020,74,13.22,-59.52,86.0,19.46
Nelson Bay,90,AU,18-06-2020,100,-32.72,152.15,48.99,6.93
Oodweyne,95,SO,18-06-2020,55,9.41,45.06,74.08,12.66
Bloemfontein,0,ZA,18-06-2020,80,-29.12,26.21,35.6,2.24
Swan Hill,0,AU,18-06-2020,92,-35.34,143.55,48.65,9.64
Van,20,TR,18-06-2020,32,38.49,43.38,68.0,10.29
Laas,40,IT,18-06-2020,87,46.62,10.7,50.0,6.93
Rundu,0,NA,18-06-2020,47,-17.93,19.77,52.38,6.35
Ubari,0,LY,18-06-2020,16,26.59,12.78,80.74,6.98
College,75,US,18-06-2020,37,64.86,-147.8,73.99,3.49
Senneterre,5,CA,18-06-2020,22,48.38,-77.23,87.8,8.05
Zyryanskoye,88,RU,18-06-2020,94,56.83,86.63,53.73,5.88
Northam,100,GB,18-06-2020,100,51.03,-4.22,57.0,8.99
Farmington,1,US,18-06-2020,12,36.73,-108.22,82.99,4.7
Hofn,0,IS,18-06-2020,85,64.25,-15.21,49.17,2.35
Alcântara,75,BR,18-06-2020,78,-2.41,-44.41,82.4,5.82
Tautira,40,PF,18-06-2020,83,-17.73,-149.15,80.6,5.82
Denpasar,20,ID,18-06-2020,94,-8.65,115.22,80.6,16.11
Manggar,100,ID,18-06-2020,91,-2.88,108.27,77.83,7.9
Jamame,86,SO,18-06-2020,83,0.07,42.75,76.26,7.96
Borba,100,BR,18-06-2020,64,-4.39,-59.59,86.77,1.7
Hualmay,6,PE,18-06-2020,72,-11.1,-77.61,66.74,9.48
Port Macquarie,71,AU,18-06-2020,98,-31.43,152.92,53.01,2.17
Jining,91,CN,18-06-2020,92,35.41,116.58,61.39,1.57
Sur,1,OM,18-06-2020,74,22.57,59.53,83.52,14.54
Tuy Hoa,62,VN,18-06-2020,85,13.08,109.3,78.37,5.01
Berlevåg,100,NO,18-06-2020,79,70.86,29.09,44.51,25.59
Ust-Maya,0,RU,18-06-2020,72,60.42,134.53,61.29,4.29
Eyl,39,SO,18-06-2020,67,7.98,49.82,81.57,25.97
Sanary-sur-Mer,0,FR,18-06-2020,71,43.12,5.8,64.99,3.0
Hohhot,0,CN,18-06-2020,76,40.81,111.65,57.2,6.71
Storebø,100,NO,18-06-2020,87,60.09,5.23,61.0,10.29
Narsīpatnam,100,IN,18-06-2020,78,17.67,82.62,80.65,5.77
Sørland,0,NO,18-06-2020,85,67.67,12.69,47.7,23.87
Roccastrada,40,IT,18-06-2020,88,43.01,11.17,66.2,9.17
Juan Lacaze,33,UY,18-06-2020,77,-34.43,-57.44,60.8,10.29
Corinth,0,GR,18-06-2020,49,37.94,22.96,75.0,5.01
Taksimo,89,RU,18-06-2020,83,56.34,114.88,51.19,3.27
Luena,0,AO,18-06-2020,61,-11.78,19.92,52.79,4.65
Yantongshan,0,CN,18-06-2020,85,43.29,126.01,58.77,1.23
Petropavlovka,100,RU,18-06-2020,82,50.61,105.32,55.98,0.58
Russell,90,US,18-06-2020,45,32.35,-85.2,84.99,4.05
Timmins,20,CA,18-06-2020,31,48.47,-81.33,87.8,11.41
Aden,36,YE,18-06-2020,65,12.78,45.04,88.0,11.34
Barro,7,BR,18-06-2020,68,-6.72,-38.87,75.74,1.7
Arrondissement de Rodez,20,FR,18-06-2020,93,44.5,2.58,54.0,1.12
Coahuayana Viejo,40,MX,18-06-2020,52,18.73,-103.68,89.6,11.41
Dicabisagan,30,PH,18-06-2020,82,17.08,122.42,79.72,4.94
Rio Grande,40,BR,18-06-2020,82,-32.03,-52.1,66.2,3.36
Batagay,0,RU,18-06-2020,32,67.63,134.63,77.77,1.92
Chara,100,RU,18-06-2020,84,56.91,118.26,51.24,3.85
Lander,1,US,18-06-2020,22,42.83,-108.73,69.8,13.87
Launceston,100,AU,18-06-2020,100,-41.45,147.17,42.01,8.05
Boda,76,CF,18-06-2020,83,4.32,17.47,71.38,1.07
Kidal,0,ML,18-06-2020,9,18.44,1.41,94.75,11.74
Aykhal,75,RU,18-06-2020,58,66.0,111.5,55.4,6.71
Şuhut,23,TR,18-06-2020,74,38.53,30.55,57.69,3.53
San Isidro,90,PE,18-06-2020,72,-12.12,-77.05,66.2,6.93
Broome,90,US,18-06-2020,93,42.25,-75.83,80.01,5.82
Kropotkin,33,RU,18-06-2020,71,45.44,40.58,71.01,8.48
Marsaxlokk,41,MT,18-06-2020,78,35.84,14.54,75.99,10.29
Tilichiki,5,RU,18-06-2020,64,60.47,166.1,58.89,3.11
Albanel,20,CA,18-06-2020,28,48.88,-72.45,93.2,11.41
Tortona,0,IT,18-06-2020,84,44.9,8.86,64.0,6.31
Hanmer Springs,100,NZ,18-06-2020,86,-42.52,172.82,42.85,3.4
Palauig,50,PH,18-06-2020,72,15.44,119.9,82.26,3.36
Westport,96,US,18-06-2020,79,41.14,-73.36,75.99,1.01
Baracoa,100,CU,18-06-2020,70,20.35,-74.5,84.11,8.08
Bossier City,40,US,18-06-2020,52,32.52,-93.73,91.4,10.29
Solnechnyy,100,RU,18-06-2020,93,50.72,136.63,44.26,6.22
Halifax,3,CA,18-06-2020,36,44.65,-63.57,82.0,1.01
Biu,71,NG,18-06-2020,77,10.61,12.19,74.03,6.11
Egvekinot,100,RU,18-06-2020,35,66.32,-179.17,58.8,0.92
Brandon,1,US,18-06-2020,69,27.94,-82.29,91.99,5.82
Juneau,90,US,18-06-2020,87,58.3,-134.42,53.6,4.7
Port Hawkesbury,1,CA,18-06-2020,33,45.62,-61.35,87.01,12.75
Kaitangata,20,NZ,18-06-2020,78,-46.28,169.85,41.0,1.99
Lamu,41,KE,18-06-2020,83,-2.27,40.9,77.49,18.59
Belmonte,75,BR,18-06-2020,94,-15.86,-38.88,71.6,3.36
Ust-Kuyga,0,RU,18-06-2020,49,70.02,135.6,72.37,2.59
Polunochnoye,0,RU,18-06-2020,77,60.87,60.42,37.58,3.67
Lingao,99,CN,18-06-2020,81,19.91,109.69,79.54,7.99
Chambersburg,64,US,18-06-2020,68,39.94,-77.66,78.01,8.01
Nantucket,90,US,18-06-2020,88,41.28,-70.1,69.01,8.05
Lavrentiya,0,RU,18-06-2020,59,65.58,-171.0,51.55,5.39
La Tuque,0,CA,18-06-2020,31,47.43,-72.78,91.8,8.57
Vredefort,0,ZA,18-06-2020,64,-27.01,27.36,43.9,4.29
Port Hardy,75,CA,18-06-2020,68,50.7,-127.42,64.4,6.93
Waddān,0,LY,18-06-2020,16,29.16,16.14,86.5,8.86
Oshikango,0,NA,18-06-2020,47,-17.4,15.88,59.0,5.82
Mitsamiouli,0,KM,18-06-2020,58,-11.38,43.28,77.58,11.1
Lødingen,0,NO,18-06-2020,76,68.41,16.0,48.2,19.46
Panzhihua,74,CN,18-06-2020,75,26.59,101.71,71.8,2.04
Barkhan,0,PK,18-06-2020,36,29.9,69.53,83.26,4.43
Assiut,0,EG,18-06-2020,34,27.18,31.18,82.4,10.29
Qui Nhon,75,VN,18-06-2020,84,13.77,109.23,79.29,4.29
Vila Franca do Campo,75,PT,18-06-2020,77,37.72,-25.43,64.4,8.05
Hamilton,75,US,18-06-2020,48,39.18,-84.53,82.99,10.29
Maniitsoq,0,GL,18-06-2020,81,65.42,-52.9,40.42,16.58
Remedios,75,CU,18-06-2020,52,22.49,-79.55,91.4,4.7
Shache,3,CN,18-06-2020,31,38.42,77.24,70.14,8.55
Pedersore,40,FI,18-06-2020,87,63.65,22.68,59.0,5.82
Beaverlodge,20,CA,18-06-2020,37,55.22,-119.44,71.6,3.36
Nuuk,40,GL,18-06-2020,86,64.18,-51.72,41.0,9.17
Weligama,78,LK,18-06-2020,89,5.97,80.42,80.37,8.34
Prado,43,BR,18-06-2020,90,-17.34,-39.22,72.57,9.01
Grand Island,90,US,18-06-2020,60,40.92,-98.34,72.0,19.46
Pundaguitan,96,PH,18-06-2020,74,6.37,126.17,82.85,4.32
Buin,75,CL,18-06-2020,71,-33.73,-70.75,51.8,3.04
Batangafo,78,CF,18-06-2020,87,7.3,18.28,72.61,4.72
Clyde,1,US,18-06-2020,57,41.3,-82.98,81.0,13.87
La Ronge,75,CA,18-06-2020,36,55.1,-105.28,60.8,18.34
Chernigovka,5,RU,18-06-2020,93,44.34,132.57,52.77,4.36
Banjar,20,ID,18-06-2020,94,-8.19,114.97,80.6,16.11
Swellendam,0,ZA,18-06-2020,81,-34.02,20.44,48.2,8.7
Achacachi,91,BO,18-06-2020,35,-16.05,-68.68,53.44,2.77
Kumul,23,CN,18-06-2020,22,42.8,93.45,80.47,14.03
Santa Isabel Rio Negro,92,BR,18-06-2020,74,-0.41,-65.02,82.87,3.98
Paita,0,PE,18-06-2020,73,-5.09,-81.11,68.9,18.14
Masvingo,99,ZW,18-06-2020,91,-20.06,30.83,51.76,4.52
Safaga,0,EG,18-06-2020,24,26.73,33.94,89.6,24.16
Illela,85,NG,18-06-2020,31,13.73,5.3,88.52,5.75
Grand Forks,75,US,18-06-2020,53,47.93,-97.03,71.6,20.8
Nhulunbuy,78,AU,18-06-2020,79,-12.23,136.77,77.45,16.02
Bend,1,US,18-06-2020,16,44.06,-121.32,77.0,6.93
Kaposvár,75,HU,18-06-2020,88,46.37,17.8,64.4,2.24
Necochea,1,AR,18-06-2020,94,-38.55,-58.74,48.99,1.99
San Luis,69,AR,18-06-2020,34,-33.3,-66.34,58.98,8.68
Santa Lucía,20,ES,18-06-2020,73,27.91,-15.54,72.0,20.8
Anori,74,BR,18-06-2020,86,-3.77,-61.64,82.51,2.39
Muriti,20,TZ,18-06-2020,64,-1.98,32.92,73.4,6.87
Edd,100,ER,18-06-2020,58,13.93,41.69,87.84,10.87
Los Llanos de Aridane,9,ES,18-06-2020,78,28.66,-17.92,71.6,14.99
Ilhabela,70,BR,18-06-2020,70,-23.78,-45.36,69.66,6.46
Baiyin,99,CN,18-06-2020,48,36.56,104.21,66.2,2.24
Rafai,100,CF,18-06-2020,98,4.95,23.92,69.71,2.21
Otane,100,NZ,18-06-2020,93,-39.88,176.63,56.03,8.23
Águas Formosas,68,BR,18-06-2020,87,-17.08,-40.94,68.97,4.43
